revenue,potential_revenue,pl_inventory_percentage
97.24,135.02,-38.85
121.78,140.17,-15.1
93.24,134.38,-44.12
93.62,102.12,-9.08
688.26,896.0,-30.18
251.8,361.94,-43.74
168.71,283.66,-68.13
209.96,322.4,-53.55
119.06,258.0,-116.7
185.2,261.77,-41.34
3.4,3.4,0.0
206.88,299.68,-44.86
268.59,391.12,-45.62
542.16,791.8,-46.05
582.69,880.55,-51.12
324.04,427.47,-31.92
418.47,594.96,-42.18
232.01,315.92,-36.17
551.9,728.01,-31.91
7.74,7.74,0.0
471.92,636.67,-34.91
191.21,256.98,-34.4
0.0,0.0,0.0
2.75,2.75,0.0
271.14,449.91,-65.93
81.53,105.49,-29.39
115.19,158.45,-37.56
165.66,236.22,-42.59
299.64,441.12,-47.22
775.26,1378.46,-77.81
347.95,575.32,-65.35
377.71,595.4,-57.63
15.07,15.07,0.0
280.3,465.86,-66.2
148.22,194.59,-31.28
490.77,622.66,-26.87
139.47,181.42,-30.08
385.37,512.32,-32.94
197.37,289.35,-46.6
223.72,288.0,-28.73
522.28,696.2,-33.3
414.31,663.14,-60.06
347.94,452.96,-30.18
533.03,812.06,-52.35
491.06,769.43,-56.69
368.63,528.9,-43.48
414.33,585.12,-41.22
658.57,852.52,-29.45
541.45,722.2,-33.38
334.63,420.45,-25.65
572.69,868.97,-51.73
213.29,297.1,-39.29
625.99,822.18,-31.34
283.37,518.02,-82.81
412.09,556.21,-34.97
539.44,827.78,-53.45
0.0,0.0,0.0
149.16,208.79,-39.98
121.86,140.35,-15.17
456.92,732.76,-60.37
26.37,28.87,-9.48
57.67,64.67,-12.14
599.8,806.62,-34.48
96.44,169.2,-75.45
110.51,163.67,-48.1
384.53,511.27,-32.96
478.72,691.27,-44.4
95.65,138.09,-44.37
374.68,710.69,-89.68
131.33,172.13,-31.07
253.58,333.31,-31.44
477.67,765.4,-60.24
67.56,91.55,-35.51
0.0,0.0,0.0
601.65,808.64,-34.4
586.92,774.94,-32.04
311.75,452.55,-45.16
63.96,82.78,-29.42
558.4,862.89,-54.53
581.6,819.2,-40.85
563.82,845.75,-50.0
467.55,690.23,-47.63
581.97,832.31,-43.02
452.69,635.26,-40.33
111.81,161.43,-44.38
358.27,630.94,-76.11
411.04,539.96,-31.36
643.12,842.22,-30.96
143.97,206.43,-43.38
529.33,808.08,-52.66
151.72,276.12,-81.99
698.17,1016.16,-45.55
527.68,865.43,-64.01
28.47,38.46,-35.09
230.19,280.35,-21.79
