,num_hidden_layers,neurons_per_layer,dropout_rate,optimizer,activation_function,fitness_scores
0,2.0,93.0,0.3573950720429822,adam,tanh,0.39039040419769167
1,2.0,93.0,0.19975421731532286,adam,tanh,0.3786753810299167
2,2.0,70.0,0.15968542357927834,adam,tanh,0.3882184061552482
3,6.0,85.0,0.17298116180354806,adam,tanh,0.3853401116625694
4,2.0,75.0,0.1869519485002175,adam,tanh,0.3832392348991539
5,1.0,39.0,0.2589180623217192,adam,tanh,0.38006880700998347
6,2.0,100.0,0.11309953817463135,adam,tanh,0.4104286242644496
7,2.0,69.0,0.19975421731532286,adam,tanh,0.3819294701947359
8,3.0,85.0,0.12316073143079966,adam,tanh,0.3588610322314051
9,5.0,75.0,0.17298116180354806,adam,tanh,0.3728459738641925
10,3.0,82.0,0.23204372201091866,adam,tanh,0.3703429452375941
11,3.0,82.0,0.34089661776708285,adam,tanh,0.3826774884584601
12,2.0,85.0,0.014485933029906415,adam,tanh,0.37961629674673153
13,3.0,44.0,0.1869519485002175,adam,tanh,0.37753653882349536
14,3.0,101.0,0.3398756843981485,adam,tanh,0.36946197661987135
15,3.0,95.0,0.3398756843981485,adam,tanh,0.4074443263915043
16,3.0,97.0,0.3398756843981485,adam,tanh,0.3705293308268137
17,3.0,54.0,0.11309953817463135,adam,tanh,0.3787301979066685
18,2.0,100.0,0.1869519485002175,adam,tanh,0.3741358596821135
19,3.0,87.0,0.19975421731532286,adam,tanh,0.38493708160009665
20,2.0,89.0,0.19975421731532286,adam,tanh,0.37481537038812585
21,2.0,85.0,0.014485933029906415,adam,tanh,0.3452572746509398
22,2.0,89.0,0.2084752465079731,adam,tanh,0.3824559603779957
23,4.0,110.0,0.1869519485002175,adam,tanh,0.38236183022608367
0,2.0,93.0,0.3573950720429822,adadelta,tanh,0.3824045667020496
1,2.0,93.0,0.19975421731532286,adadelta,tanh,0.38610726044086363
2,2.0,70.0,0.15968542357927834,adadelta,tanh,0.39649004263710147
3,6.0,85.0,0.17298116180354806,adadelta,tanh,0.36244464668458476
4,2.0,75.0,0.1869519485002175,adadelta,tanh,0.39572820350157806
5,1.0,39.0,0.2589180623217192,adadelta,tanh,0.3952913005017792
6,2.0,100.0,0.11309953817463135,adadelta,tanh,0.36411574405113817
7,2.0,69.0,0.19975421731532286,adadelta,tanh,0.3834461975271692
8,3.0,85.0,0.12316073143079966,adadelta,tanh,0.38718294433464717
9,5.0,75.0,0.17298116180354806,adadelta,tanh,0.404817927720714
10,3.0,82.0,0.23204372201091866,adadelta,tanh,0.38098829520339816
11,3.0,82.0,0.34089661776708285,adadelta,tanh,0.3603340842164372
12,2.0,85.0,0.014485933029906415,adadelta,tanh,0.3555787837893102
13,3.0,44.0,0.1869519485002175,adadelta,tanh,0.3504173744983462
14,3.0,101.0,0.3398756843981485,adadelta,tanh,0.3779602682654434
15,3.0,95.0,0.3398756843981485,adadelta,tanh,0.3772991830693188
16,3.0,97.0,0.3398756843981485,adadelta,tanh,0.3946912851118448
17,3.0,54.0,0.11309953817463135,adadelta,tanh,0.39131834233877577
18,2.0,100.0,0.1869519485002175,adadelta,tanh,0.3943537063211986
19,3.0,87.0,0.19975421731532286,adadelta,tanh,0.3961436733201439
20,2.0,89.0,0.19975421731532286,adadelta,tanh,0.3674850441955705
21,2.0,85.0,0.014485933029906415,adadelta,tanh,0.38766386681049586
22,2.0,89.0,0.2084752465079731,adadelta,tanh,0.40720055383213277
23,4.0,110.0,0.1869519485002175,adadelta,tanh,0.3730780458857382
0,2.0,93.0,0.3573950720429822,adagrad,tanh,0.3820237603289355
1,2.0,93.0,0.19975421731532286,adagrad,tanh,0.3848695182143146
2,2.0,70.0,0.15968542357927834,adagrad,tanh,0.3762000755410366
3,6.0,85.0,0.17298116180354806,adagrad,tanh,0.3832758352758353
4,2.0,75.0,0.1869519485002175,adagrad,tanh,0.37021116297372547
5,1.0,39.0,0.2589180623217192,adagrad,tanh,0.39474295346148897
6,2.0,100.0,0.11309953817463135,adagrad,tanh,0.4060369034474297
7,2.0,69.0,0.19975421731532286,adagrad,tanh,0.38497929438982076
8,3.0,85.0,0.12316073143079966,adagrad,tanh,0.37053424561512927
9,5.0,75.0,0.17298116180354806,adagrad,tanh,0.35474980291667496
10,3.0,82.0,0.23204372201091866,adagrad,tanh,0.3615616009721273
11,3.0,82.0,0.34089661776708285,adagrad,tanh,0.3963674609241411
12,2.0,85.0,0.014485933029906415,adagrad,tanh,0.3752676388686619
13,3.0,44.0,0.1869519485002175,adagrad,tanh,0.37451263585981376
14,3.0,101.0,0.3398756843981485,adagrad,tanh,0.37046369776924676
15,3.0,95.0,0.3398756843981485,adagrad,tanh,0.38131974549536596
16,3.0,97.0,0.3398756843981485,adagrad,tanh,0.3881472742419231
17,3.0,54.0,0.11309953817463135,adagrad,tanh,0.3824713448230477
18,2.0,100.0,0.1869519485002175,adagrad,tanh,0.36103926774979406
19,3.0,87.0,0.19975421731532286,adagrad,tanh,0.3459846538077308
20,2.0,89.0,0.19975421731532286,adagrad,tanh,0.4004478552810764
21,2.0,85.0,0.014485933029906415,adagrad,tanh,0.35447328471322276
22,2.0,89.0,0.2084752465079731,adagrad,tanh,0.3660542583205122
23,4.0,110.0,0.1869519485002175,adagrad,tanh,0.3609115198526963
0,2.0,93.0,0.3573950720429822,adamax,tanh,0.3842193579367493
1,2.0,93.0,0.19975421731532286,adamax,tanh,0.3880899231487467
2,2.0,70.0,0.15968542357927834,adamax,tanh,0.3603507895613159
