cu,pb,zn,fe,p,ag,as,o,sb,te,ni,bi,cd,sn,s,mn,zr,mg,co,al,be,cr,si,ti,ca,li,b,c,nb,se,thermal_conductivity
59.5,0.09,37.509,0.5,0,0,0,0,0,0,0,2.1,0.01,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.7
65.67,0.005,0,0.75,0.005,0,0,0,0,0,30.5,0,0,0,0.005,0.75,0.1,0,0.05,0,0,1.75,0.3,0.09,0,0,0.001,0.02,0,0,13.3
80.14,0.05,1,0.75,0,0,0,0,0,0,16.5,0,0,0,0,1,0,0,0,0,0,0.5,0.03,0.03,0,0,0,0,0,0,19.9
87.1,0.05,0.5,0.6,0,0,0,0,0,0,9.25,0,0,2.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
87.1,0.05,0.5,0.6,0,0,0,0,0,0,9.25,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
87.19,0.01,0.1,0.1,0,0,0,0,0,0,7.5,0,0,5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27
86.18,0.02,0.5,0.5,0,0,0,0,0,0,7.5,0,0,5,0,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,31.7
79.95,0.005,1,0.5,0.0005,0,0,0,0.02,0,10,0.001,0,7,0.0025,0,0,0.75,0,0.1,0,0,0.05,0.01,0,0,0.001,0,0.2,0,31.7
75.43,0.02,0.5,0.5,0,0,0,0,0,0,15,0,0,8,0,0.3,0,0.15,0,0,0,0,0,0,0,0,0,0,0.1,0,17
72,0.09,9.16,0.25,0,0,0,0,0,0,18,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
64,0.05,32.9,0.05,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
65,0.09,24,0.25,0.25,0,0,0,0,0,10,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
64.5,0.05,16.7,0.25,0,0,0,0,0,0,18,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
59,0.09,0,0.1,0.1,0,0,0,2.3,0,0.3,0,0.0075,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.045,45.5
60,0.17,37.94,0.3,0.085,0,0,0,0,0,0,0.9,0.001,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,45.5
59,0.09,36.8,0.1,0,0,0,0,0.5,0,0.3,1.5,0.0075,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,45.5
62,0.09,21.17,0.12,0.09,0,0,0,0.6,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,48.7
