,inventory,item_url
163,"
Inventory policy :

                
                6
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/canned-sweets/products/gulab-jamun-box-1kg
164,"
Inventory policy :

                
                6
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/canned-sweets/products/cham-cham-bikaji-1kg
165,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/canned-sweets/products/bikaji-rasgulla-1kg
166,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/canned-sweets/products/rasmalai-bikaji-1kg
167,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/canned-sweets/products/gulab-jamun-canned-grb-1kg
168,"
Inventory policy :

                
                2
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/canned-sweets/products/gulab-jamun-1kg-bika-ji
169,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/canned-tomato/products/tomato-puree-mitchells
170,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/canned-tomato/products/tomato-puree-mc-3kg
171,"
Inventory policy :

                
                2
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/canned-tomato/products/tomato-paste-mc-3kg
172,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/canned-tomato/products/tomato-diced-annalisa-800g
173,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/canned-tomato/products/tomato-crushed-mc-3kg
174,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/cat-foods/products/whiskas-trio-mix
175,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/cat-foods/products/whiskas-trio-fish
176,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/cat-foods/products/whiskas-meat-with-veg
177,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/cat-foods/products/seafood-platter-catfood
178,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/cat-foods/products/sardine-prawn-flavour-whiskas-1kg
179,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/cat-foods/products/beef-lamb-flavour-whiskas-1kg
180,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/century/products/momo-masala-century
181,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/century/products/meat-masala-century
182,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/century/products/garam-masala-century-50g
183,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/century/products/curry-powder-century
184,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/century/products/chicken-masala-century
185,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chapatti/products/rumali-roti-400g
186,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chapatti/products/plain-naan-mc-280g
187,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/chapatti/products/missi-roti-400g
