revenue,potential_revenue,pl_inventory_percentage
114.51,114.51,0.0
124.24,124.24,0.0
502.88,502.88,0.0
354.94,354.94,0.0
278.26,278.26,0.0
731.11,731.11,0.0
399.03,399.03,0.0
1279.87,1279.87,0.0
1319.43,1319.43,0.0
1599.77,1599.77,0.0
162.12,162.12,0.0
37.93,37.93,0.0
924.04,924.04,0.0
605.29,605.29,0.0
117.52,117.52,0.0
60.59,60.59,0.0
384.8,384.8,0.0
163.77,163.77,0.0
1079.89,1079.89,0.0
609.36,609.36,0.0
1088.47,1088.47,0.0
1317.29,1317.29,0.0
421.57,421.57,0.0
293.49,293.49,0.0
440.83,440.83,0.0
412.87,412.87,0.0
756.45,756.45,0.0
110.43,110.43,0.0
521.88,521.88,0.0
96.3,96.3,0.0
178.41,178.41,0.0
786.76,786.76,0.0
72.79,72.79,0.0
524.76,524.76,0.0
1091.97,1091.97,0.0
427.13,427.13,0.0
1281.07,1281.07,0.0
1109.38,1109.38,0.0
812.03,812.03,0.0
100.86,100.86,0.0
50.01,50.01,0.0
510.68,510.68,0.0
426.82,426.82,0.0
1102.28,1102.28,0.0
726.93,726.93,0.0
591.66,591.66,0.0
209.2,209.2,0.0
772.46,772.46,0.0
468.55,468.55,0.0
1211.34,1211.34,0.0
1066.55,1066.55,0.0
476.25,476.25,0.0
670.26,670.26,0.0
1315.83,1315.83,0.0
299.84,299.84,0.0
290.51,290.51,0.0
337.55,337.55,0.0
301.3,301.3,0.0
204.79,204.79,0.0
616.27,616.27,0.0
83.26,83.26,0.0
1048.97,1048.97,0.0
962.19,962.19,0.0
1075.52,1075.52,0.0
0.0,0.0,0.0
549.99,549.99,0.0
96.28,96.28,0.0
125.18,125.18,0.0
1096.85,1096.85,0.0
1073.31,1073.31,0.0
200.76,200.76,0.0
431.01,431.01,0.0
262.64,262.64,0.0
1051.24,1051.24,0.0
174.68,174.68,0.0
302.27,302.27,0.0
791.47,791.47,0.0
1215.62,1215.62,0.0
716.7,716.7,0.0
355.25,355.25,0.0
261.2,261.2,0.0
281.56,281.56,0.0
803.06,803.06,0.0
1036.09,1036.09,0.0
1088.82,1088.82,0.0
1273.58,1273.58,0.0
526.43,526.43,0.0
447.58,447.58,0.0
524.74,524.74,0.0
908.3,908.3,0.0
143.22,143.22,0.0
588.83,588.83,0.0
688.84,688.84,0.0
153.8,153.8,0.0
798.23,798.23,0.0
1370.05,1370.05,0.0
1395.31,1395.31,0.0
1033.81,1033.81,0.0
497.4,497.4,0.0
1060.54,1060.54,0.0
477.05,477.05,0.0
1133.86,1133.86,0.0
574.26,574.26,0.0
381.15,381.15,0.0
480.84,480.84,0.0
723.59,723.59,0.0
202.28,202.28,0.0
867.02,867.02,0.0
619.89,619.89,0.0
191.05,191.05,0.0
0.0,0.0,0.0
57.79,57.79,0.0
332.51,332.51,0.0
173.2,173.2,0.0
1310.58,1310.58,0.0
643.0,643.0,0.0
864.31,864.31,0.0
407.58,407.58,0.0
0.0,0.0,0.0
121.86,121.86,0.0
982.47,982.47,0.0
1053.08,1053.08,0.0
214.83,214.83,0.0
803.37,803.37,0.0
368.11,368.11,0.0
258.22,258.22,0.0
1184.74,1184.74,0.0
256.7,256.7,0.0
265.51,265.51,0.0
1388.03,1388.03,0.0
892.32,892.32,0.0
1100.92,1100.92,0.0
178.88,178.88,0.0
458.53,458.53,0.0
0.0,0.0,0.0
1223.29,1223.29,0.0
788.04,788.04,0.0
775.16,775.16,0.0
