name,price_correspondance,collection,price
Date & Tamarind Chutney Pattu 330g,'/products/date-tamarind-chutney-pattu-330g',chutney,$3.99
BOMBAY BHELPURI CHUTNEY PATTU 340g,'/products/bombay-bhel-puri-chutney-pattu',chutney,$3.99
CHYAWANPRASH PATANJALI 1KG,'/products/chyawanprash-patanjali-1kg',chyawanprash,$12.95
CHYAWANPRASH DABUR 1KG,'/products/chyawanprash-dabur-1kg',chyawanprash,$12.95
"JANMA GHUNTI, DABUR, 60ML",'/products/janma-ghunti-dabur-60ml',chyawanprash,$2.80
COCONUT CHIPS UTTAM 200G,'/products/uttam-uttam-coconut-chips-200g',coconut-chips,$2.95
COCONUT CREAM MONIKA 400ML,'/products/monika-coconut-cream-400ml',coconut-cream,$3.99
COCONUT CREAM KARA 400ML,'/products/coconut-cream-kara',coconut-cream,$4.50
COCONUT CREAM AYAM 270ML,'/products/coconut-cream-270ml-ayam',coconut-cream,$2.99
"COCONUT DESSICATED FINE, PATTU 250G",'/products/coconut-dessicated-fine-pattu-250g',coconut-desiccated,$3.50
COCONUT DESSICATED UTTAM 200G,'/products/uttam-coconut-desicated',coconut-desiccated,$2.50
DESICCATED COCONUT B&G 500G,'/products/desiccated-coconut-b-g',coconut-desiccated,$3.99
"DESICCATED COCONUT, MAHARAJAH’S CHOICE, 500G",'/products/desiccated-coconut-500g-maharajis-choice',coconut-desiccated,$6.00
"COCONUT DESSICATED FINE, PATTU 500G",'/products/coconut-dessicated-fine-500-gm',coconut-desiccated,$6.50
COCONUT MILK MONIKA 400ML,'/products/coconut-milk-400ml-monika',coconut-milk,$3.99
COCONUT MILK AYAM 270ML,'/products/coconut-milk-270ml-ayam',coconut-milk,$2.99
COCONUT MILK POWDER AYAM 150G,'/products/coconut-milk-powder-150g-ayam',coconut-milk-powder,$4.45
COCONUT SHREDDED UTTAM 200G,'/products/uttam-uttam-coconut-shredded',coconut-shredded,$2.75
"THREADED COCONUT, MAHARAJAH’S CHOICE, 500G",'/products/threaded-coconut-500g-maharajis-choice',coconut-shredded,$6.99
COCONUT WHOLE 1PC (150G-200G) UTTAM,'/products/coconut-whole-1pc-150g-200g-uttam',coconut-whole,$4.00
YELLOW HERBAL HOLI COLOR 100G,'/products/yellow-herbal-holi-color-100g',colour-gulal,$2.00
RANGOLI COLOUR WHITE 200G,'/products/rangoli-colour-white-200g',colour-gulal,$2.50
RANGOLI COLOUR RED 200G,'/products/rangoli-colour-red-200g',colour-gulal,$2.50
RANGOLI COLOUR ORANGE 200G,'/products/rangoli-colour-orange-200g',colour-gulal,$2.50
RANGOLI COLOUR GREEN 200G,'/products/rangoli-colour-green-200g',colour-gulal,$2.50
RANGOLI COLOUR BLUE 200G,'/products/rangoli-colour-blue-200g',colour-gulal,$2.50
HOLI COLOUR 200G,'/products/holi-colour-200g',colour-gulal,$2.75
HOLI COLOUR 100G,'/products/holi-colour-100g',colour-gulal,$2.00
HOLI  COLOURS PINK 200G,'/products/holi-colours-pink-200g',colour-gulal,$3.00
"TANDOORI COLOUR, MAHARAJAH’S CHOICE, 50ML",'/products/tandoori-colour-50ml-maharajis-choice',colours,$2.85
TANDOORI COLOUR 100G UTTAM,'/products/tandoori-colour-100g-uttam',colours,$4.30
"SAFFRON COLOUR, UTTAM, 100GM",'/products/saffron-colour-100gm-uttam',colours,$4.99
RED COLOUR MAHARAJA CHOICE 50ML,'/products/red-colour-maharaja-choice-50ml',colours,$2.85
GREEN COLOUR MAHARAJA CHOICE 50ML,'/products/green-colour-maharaja-choice-50ml',colours,$2.85
EGG YELLOW COLOUR MAHARAJA CHOICE 50ML,'/products/egg-yellow-colour-maharaja-choice-50ml',colours,$2.85
"CHOCOLATE BROWN COLOUR, STAR, 25ML",'/products/chocolate-brown-colour-25ml',colours,$1.95
TANDOORI COLOUR MAHARAJA CHOICE 50ML,'/products/tandoori-colour-maharaja-choice',colours,$2.99
SAC YELLOW FOOD COLOR,'/products/sac-yellow-food-color',colours,$2.50
B/G FOOD STORAGE CONTAINERS RECTANGULAR,'/products/b-g-food-storage-containers-rectangular',containers,$3.99
"FOOD CONTAINER ROUND, B&G, 4X700ML",'/products/b-g-food-container-round',containers,$3.99
"CARNATION COOKING CREAM, NESTLE, 300 ML",'/products/carnation-cooking-cream-nestle-300-ml',cooking-needs,$3.99
